name,nat,tm,age,pos,cm,kg,app,min,G,A,yel,red,spG,pa%,aerWon,moM,tac,int,fouls,offW,clear,drbP,blcks,ownG,KP,drb,fouled,cOff,disp,unsT,avgP,crosses,longB,thrB
Héctor Bellerín,Arsenal,es,21,"D(R),M(R)",177,74,36,3240,1,5,3,-,0.4,85.7,1.1,1,1.6,1.8,0.5,-,2.4,0.6,0.2,-,0.7,1.8,0.2,-,1,0.9,46.9,0.5,0.9,0.1
Mathieu Debuchy,Arsenal,fr,31,D(R),177,76,2,144,-,-,-,-,0.5,74.7,3,-,4.5,1.5,1.5,-,0.5,0.5,-,-,0.5,0.5,0.5,-,2,0.5,39.5,-,1,-
Mathieu Flamini,Arsenal,fr,32,M(C),178,67,12(4),1089,-,-,3,-,0.4,86.8,0.8,-,1.9,2.2,1.1,0.1,1.6,0.8,0.8,-,0.2,0.1,0.2,-,0.3,0.3,39.3,0.1,1.1,-
Petr Cech,Arsenal,cz,34,GK,196,90,34,3060,-,-,-,-,-,59,0.2,2,-,-,-,-,1,-,-,-,-,0.1,0.1,-,-,-,25.1,-,8.2,-
Alex Oxlade Chamberlain,Arsenal,eng,23,M(CLR),180,70,9(13),925,1,-,-,-,1,82.5,0.4,-,1,0.5,0.5,-,0.4,0.5,0.2,-,0.9,1.7,0.6,0.1,1.1,1.1,20,0.4,1.2,-
Danny Welbeck,Arsenal,eng,25,"AM(CLR),FW",185,73,7(4),578,4,2,1,-,1.8,76.5,0.9,1,1,0.2,0.5,0.1,0.5,-,-,-,0.6,1.3,0.8,-,1.6,1.4,13.5,-,0.1,-
Jack Wilshere,Arsenal,eng,24,M(CLR),172,68,1(2),141,-,-,-,-,0.3,84.3,0.7,-,1,0.7,0.3,-,1,1.3,-,-,0.3,2,1.3,-,0.3,1,27.7,-,-,-
Calum Chambers,Arsenal,eng,21,D(CR),183,66,2(10),315,-,-,2,-,0.2,84,1.1,-,0.7,0.8,0.5,0.3,1.8,0.1,0.7,1,0.2,0.6,0.3,-,0.1,0.4,16.2,-,0.5,-
Kieran Gibbs,Arsenal,eng,26,D(L),178,70,3(12),381,1,-,-,-,0.3,73.7,0.4,-,0.8,0.7,0.2,-,0.6,0.3,-,-,0.1,0.1,0.4,0.1,0.3,0.3,13.2,0.1,0.2,-
Nacho Monreal,Arsenal,es,30,D(CL),178,72,36(1),3248,-,3,1,-,0.3,85.5,1.9,1,2.1,2.9,0.8,0.2,3.1,0.8,0.3,-,0.8,0.4,1.1,0.1,0.3,0.6,49.9,0.5,1,-
Alexis Sánchez,Arsenal,cl,27,"M(LR),FW",168,62,28(2),2446,13,4,1,-,3.6,79.6,0.7,6,1.6,0.8,1.1,-,0.2,0.8,0.1,-,2.1,3.4,2.2,0.4,3.3,2.4,47.8,0.4,2.4,0.4
Laurent Koscielny,Arsenal,fr,31,D(C),186,75,33,2847,4,-,3,-,0.6,87,3.2,3,1.4,3.8,0.9,0.9,5.6,0.4,0.8,-,0.2,0.3,0.8,-,0.4,0.5,51.3,-,2.5,-
Olivier Giroud,Arsenal,fr,29,FW,192,88,26(12),2431,16,6,2,-,2.7,68.1,2.7,1,0.9,0.3,1.1,-,0.7,0.6,0.1,1,0.9,0.3,0.9,0.7,1.2,2.2,22.1,0.1,0.2,0.1
David Ospina,Arsenal,co,28,GK,183,80,4,360,-,-,-,-,-,55.5,-,-,-,-,-,-,0.3,-,-,-,-,-,0.3,-,-,-,27.5,-,8.8,-
Mesut Özil,Arsenal,de,27,M(CLR),183,76,35,3049,6,19,4,-,1.4,86.3,0.1,6,1,0.6,0.6,-,0.3,1.2,-,-,4.2,1.3,1.2,0.4,1.7,2,65.1,2.6,1.5,0.5
Theo Walcott,Arsenal,eng,27,"M(LR),FW",176,68,15(13),1375,5,2,-,-,1.6,79.7,0.2,1,0.4,0.5,0.1,-,0.3,0.3,-,-,0.6,0.9,0.9,0.5,1.1,1.3,11.1,0.1,0.1,0.1
Mohamed Elneny,Arsenal,eg,24,DMC,180,70,9(2),794,-,1,3,-,1.2,92.8,0.5,-,0.9,1.5,0.8,0.2,1.5,1.1,0.3,-,0.3,0.4,1,-,0.4,0.7,67.1,0.1,1.7,-
