name,nat,tm,age,pos,cm,kg,app,min,G,A,yel,red,spG,pa%,aerWon,moM,tac,int,fouls,offW,clear,drbP,blcks,ownG,KP,drb,fouled,cOff,disp,unsT,avgP,crosses,longB,thrB,season
Mikael Silvestre,Arsenal,fr,39,D(C),184,85,9(3),857,1,0,2,0,0.5,81.7,0.9,0,1.3,2.3,1.2,0.8,3.7,0.4,0.5,0,0.3,0.2,0.5,0,0.2,0,36.9,0,3.3,0,2009-10
Tomas Rosicky,Arsenal,cz,35,M(CR),178,65,14(11),1299,3,4,1,0,1.6,81.1,0.4,0,0.9,0.7,0.5,0,0.3,0.4,0,0,1.1,0.9,1.4,0,1,0,29.6,0.3,0.7,0.2,2009-10
Abou Diaby,Arsenal,fr,30,M(C),191,75,26(3),2322,6,3,2,0,1.3,83.1,1.9,6,2.7,2.7,1.8,0,2,0.6,0,1,1.2,2.7,1.6,0.1,2.9,0,53.3,0.1,1.4,0.3,2009-10
Bacary Sagna,Arsenal,fr,33,D(CR),176,72,31(4),2761,0,3,3,0,0.3,85.4,1.6,0,1.8,2.2,0.7,0.5,3.9,0.3,0.2,0,0.8,0.3,1.2,0,1.1,0,45.9,0.9,1.1,0,2009-10
Gaël Clichy,Arsenal,fr,31,D(L),176,65,23(1),2086,0,1,4,0,0.3,79.3,1.2,0,3,3.4,1,0.5,3.6,1.1,0.2,0,0.5,1,1,0,0.5,0,49,0.5,2.4,0,2009-10
Denílson,Arsenal,br,28,M(C),182,70,19(1),1573,3,1,2,0,1.1,86.4,1.5,2,2.6,3.1,1.7,0,1,1.9,0.2,0,0.6,0.6,2.1,0,2.1,0,63,0.2,3.4,0.1,2009-10
Eduardo da Silva,Arsenal,hr,33,"M(C),FW",177,72,13(11),1121,2,4,0,0,1.8,80.9,0.4,0,0.3,0.5,0.6,0,0,0.2,0,0,1.2,0.6,0.4,0.4,1,0,15.3,0,0.2,0.1,2009-10
Vito Mannone,Arsenal,it,28,GK,188,80,5,450,0,0,1,0,0,57,0,1,0,0,0,0,0.8,0,0,0,0,0,0.4,0,0,0,25.6,0,8.6,0,2009-10
Robin van Persie,Arsenal,nl,33,FW,183,71,14(2),1256,9,7,3,0,4.8,79.7,0.9,2,0.7,0.9,1.5,0.1,0.6,0.3,0,0,2.6,0.9,1.4,1.1,2,0,27.4,0.9,0.6,0.8,2009-10
Jack Wilshere,Arsenal,eng,24,M(CLR),172,68,0(1),1,0,0,0,0,0,100,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2009-10
Samir Nasri,Arsenal,fr,29,M(CLR),175,75,22(4),1888,2,4,2,0,1.4,86.4,0.1,1,1.4,1.4,0.4,0,0.4,0.5,0,0,2,1.6,0.7,0.2,2.5,0,44.7,1.1,1.8,0.4,2009-10
Kieran Gibbs,Arsenal,eng,26,D(L),178,70,3,270,0,0,1,0,0.3,77.6,1.7,0,3.3,3.7,0.3,0,4,1,0,0,0.3,1,0.7,0.3,0.3,0,55,0.7,1.3,0,2009-10
Carlos Vela,Arsenal,mx,27,"M(CLR),FW",177,75,1(10),227,1,0,0,0,0.5,82,0.1,0,0.3,0.1,0.6,0,0.1,0,0,0,0.5,0.4,0.6,0.2,0.9,0,9.1,0.1,0.3,0,2009-10
Armand Traore,Arsenal,sn,26,"D(L),M(L)",185,81,9,805,0,0,2,0,0.1,83.7,1.9,0,2.6,2.9,0.7,0.4,4.9,0.9,0,0,0.3,0.9,0.6,0,1.1,0,49.8,0.1,1.9,0,2009-10
Nicklas Bendtner,Arsenal,dk,28,FW,194,89,13(10),1228,6,5,2,0,2.3,73.3,2.4,1,0.7,0.4,0.7,0,0.7,0.1,0.1,0,0.8,0.4,0.6,0.3,2,0,22,0.2,0.5,0.1,2009-10
Cesc Fàbregas,Arsenal,es,29,"M(CL),FW",175,74,26(1),2194,15,13,5,0,3.2,79.3,0.5,11,2.3,2.3,1.3,0,0.9,1,0.1,0,3.5,1.9,1.8,0.1,2.7,0,66.1,1.1,4.2,1,2009-10
Sol Campbell,Arsenal,eng,41,D(L),188,88,10(1),955,0,0,3,0,0.5,81.4,1.9,0,2.4,2.5,1,1.1,5.1,0.3,0.7,0,0.2,0.4,0.7,0,0.5,0,34.6,0,2.2,0,2009-10
Theo Walcott,Arsenal,eng,27,"M(LR),FW",176,68,12(11),1132,3,2,0,0,1.5,83,0.2,0,0.6,0.3,0.3,0,0.2,0.1,0,0,1,0.8,0.6,0.2,1.9,0,14.6,0.8,0.2,0.2,2009-10
Lukasz Fabianski,Arsenal,pl,31,GK,190,83,4,360,0,0,1,0,0,43.3,0.8,0,0,0,0.3,0,2,0,0,0,0,0,0.3,0,0,0,26,0,5.3,0,2009-10
Emmanuel Eboué,Arsenal,ci,33,D(R),178,72,17(8),1496,1,3,4,0,0.6,86.7,0.2,0,1.7,1.4,0.8,0.1,0.6,0.3,0.2,0,1,1.7,1.6,0.2,1.3,0,29.8,0.2,1.1,0.2,2009-10
Craig Eastmond,Arsenal,,25,Midfielder,173,75,2(2),171,0,0,0,0,0.5,81.7,1.5,0,1.8,2.3,1,0,0.5,0.8,0.8,0,0.5,0,0.8,0,0.8,0,26,0,0.8,0,2009-10
William Gallas,Arsenal,fr,39,D(C),181,69,26,2340,3,0,2,0,0.7,89,1.5,0,1.5,1.9,0.5,1.5,7.8,0.4,0.6,0,0.1,0.2,0.5,0.3,0.5,0,39.3,0,2,0,2009-10
Aaron Ramsey,Arsenal,wls,25,M(CR),178,76,7(11),780,3,3,0,0,1.1,85.6,0.7,1,1.4,1,0.7,0,0.4,0.4,0.1,0,0.8,0.6,0.7,0,1.6,0,34.8,0.1,2.4,0.1,2009-10
Alexandre Song,Arsenal,cm,29,M(C),185,74,25(1),2240,1,1,10,0,0.5,84.7,1.5,1,3.3,3.1,2.2,0.1,2.2,1.4,0.2,0,0.9,1.2,1.5,0,1.6,0,57.2,0,3.1,0.4,2009-10
Thomas Vermaelen,Arsenal,be,30,D(CL),183,80,33,2799,7,1,3,1,1.2,83.3,3.1,0,1.9,2,0.8,1.1,7.1,0.2,0.5,1,0.2,0.3,1,0.1,0.3,0,34.3,0,2.7,0,2009-10
Fran Mérida,Arsenal,es,26,AM(C),177,74,0(4),61,1,0,0,0,0.3,78.7,0.3,0,1,0.3,0.5,0,0.3,0.3,0.3,0,0.3,0,0.8,0.3,0.3,0,11.8,0,0.3,0,2009-10
Andrey Arshavin,Arsenal,ru,35,AM(LR),172,69,25(5),2267,10,1,2,0,2.9,73.6,0.2,1,1.2,0.8,1.3,0,0,0.2,0,0,1.3,1.4,1,0.7,2.3,0,29.3,0.5,0.8,0.4,2009-10
Henri Lansbury,Arsenal,eng,25,M(C),183,85,0(1),13,0,0,0,0,1,93.8,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,16,1,2,0,2009-10
Johan Djourou,Arsenal,ch,29,D(C),191,87,0(1),28,0,0,0,0,0,89.5,0,0,1,1,1,0,1,0,0,0,0,0,3,0,0,0,19,0,4,0,2009-10
Manuel Almunia,Arsenal,es,39,GK,191,86,29,2610,0,1,1,0,0,43.9,0.1,0,0,0,0,0,1,0,0,0,0,0,0.2,0,0,0,27.5,0,6.4,0,2009-10
Ivan Klasnic,Bolton,hr,36,"AM(L),FW",186,82,12(15),1211,8,1,5,0,2.3,72.3,0.3,1,0.4,0.6,0.7,0,0.5,0.4,0,0,0.7,0.4,0.5,0.5,1,0,13.9,0,0.5,0.2,2009-10
Paul Robinson,Bolton,eng,37,D(CL),175,72,24(1),2193,0,2,7,0,0,70.4,1.3,0,3,2.2,1.2,0.2,4,1.1,0.4,0,0.4,0,1.2,0,0.4,0,34.8,0.5,3.3,0,2009-10
